,Reward,Average Reward
0,2.869591224388941,2.869591224388941
1,-78.87787233833762,-38.00414055697434
2,-176.51588539544431,-84.17472216979768
3,-93.46585670072696,-86.49750580252999
4,-89.53883772316865,-87.10577218665772
5,-367.505244215863,-133.8390175248586
6,-114.80833077971786,-131.1203479898385
7,-124.26474538220306,-130.26339766388406
8,-112.1544001499773,-128.25128682900555
9,-240.26852905563985,-139.45301105166897
10,-508.38732978717326,-172.99249457307846
11,-61.86700971865592,-163.7320375018766
12,-374.082143869415,-179.91281491476414
13,-418.0886097826489,-196.92537169104162
14,-159.56647314480995,-194.43477845462618
15,-181.98427787013114,-193.65662216809525
16,-259.11821072967615,-197.50730384818826
17,-332.64745948024796,-205.01509027219157
18,-132.3970108992921,-201.19308609467055
19,-122.3858170929189,-197.25272264458297
20,-79.15477687722365,-191.62901094137538
21,-302.9653364056111,-196.68975300793156
22,-98.22872543033301,-192.40883876542728
23,-68.4749461283402,-187.2449265722153
24,-68.3542025727397,-182.48929761223627
25,-143.0406345224498,-180.97204133955216
26,-111.52904984997849,-178.4000786917902
27,-329.3720721674694,-183.79193560163588
28,-131.5869884156917,-181.99176500901712
29,-83.33158766928454,-178.70309243102602
30,-171.62711844599093,-178.4748352057023
31,-67.36286738547514,-175.0025862113202
32,-158.90015836949323,-174.51463385247695
33,-241.10100600026476,-176.473056562706
34,-331.56447720161134,-180.90424000953186
35,-155.46646576487962,-180.19763516940264
36,-193.90795004872018,-180.56818422019504
37,-346.45686986981934,-184.9336759478167
38,-198.90246025023288,-185.29184990428894
39,-140.34182375963968,-184.1680992506727
40,-275.3467225418667,-186.39196811143356
41,-70.12878129534852,-183.62379699676487
42,-318.1199504378111,-186.75161451864966
43,-304.6319935750068,-189.43071404265777
44,-246.51979228158476,-190.69936022574504
45,-185.13617418196233,-190.57842139870627
46,-68.90016187025708,-187.9895222598031
47,-296.3576896435146,-190.24719241363042
48,-117.99457854291333,-188.7726492734117
49,-220.35029929310565,-189.4042022738056
50,-171.79410879839963,-189.05890632330747
51,-81.81720135265684,-186.99656584310262
52,-73.02545365420195,-184.84616749991582
53,-60.67935079585237,-182.54678200539612
54,-84.2362369172166,-180.7593175492474
55,-114.04554775228947,-179.56800023144456
56,-78.3014623372059,-177.79139430347544
57,16.8156250317018,-174.43610086666203
58,-241.35331163080605,-175.57029087961362
59,-98.21398521955557,-174.28101911861268
60,-107.6702603933015,-173.18903946737805
61,0.3188358680883283,-170.39052534906406
62,-78.62528342362218,-168.9339342073904
63,-168.57962628123295,-168.92839814604423
64,-191.81075549984837,-169.28043441302583
65,-76.35533002875475,-167.8724782859914
66,4.453000482125745,-165.3004562148255
67,-45.74967054274874,-163.54235642553024
68,-123.06741556474914,-162.9557630797218
69,-85.55176050690989,-161.84999161439592
70,-184.93240266798915,-162.17509599543246
71,-104.762293853813,-161.37769596568774
72,-67.74889727920244,-160.0951096823112
73,-94.25188862778873,-159.20533642481766
74,-161.50033102254852,-159.2359363527874
75,-95.9827361721612,-158.40365740304233
76,-271.94958696862375,-159.878279864933
77,-131.34286865456363,-159.51244125967185
78,-62.39338377960057,-158.28308610169628
79,-121.44481206156891,-157.82260767619468
80,-112.44262175703322,-157.26236093645196
81,-109.90276323245931,-156.68480486689106
82,-275.9257656030129,-158.12144294804915
83,-109.34629799102565,-157.54078646046554
84,-80.48086478053428,-156.634199146584
85,-68.51575076637414,-155.60956602588388
86,-100.22239417639295,-154.97293186669432
87,-17.407255158024725,-153.40968554045946
88,-278.16997300230275,-154.81148652317682
89,-118.81264250265832,-154.41149936739328
90,-53.131510623954476,-153.29853245812473
91,-127.08464210899615,-153.0135988673733
92,-104.06982740114012,-152.48732175483318
93,-65.61603193001888,-151.5631590971224
94,-12.813775896365996,-150.10263927395653
95,-83.87981301077394,-149.41281816704836
96,-178.37257655357627,-149.71137237721877
97,-96.32066931933343,-149.16656928479136
98,-65.49637387641067,-148.3214157958178
99,-130.45608400651395,-148.14276247792478
100,-13.629539027934214,-148.307753780448
101,-63.83799488082665,-148.1573550058729
102,-189.82758645169417,-148.2904720164354
103,-81.33764706054968,-148.16918992003363
104,-107.3341524617746,-148.34714306741967
105,-224.03770873135375,-146.9124677125746
106,-75.11904941741548,-146.51557489895154
107,-291.00752195741154,-148.18300266470365
108,-182.62580306283346,-148.8877166938322
109,-123.72522455065598,-147.72228364878237
110,-31.809775994608287,-142.95650811085673
111,-121.46598506649441,-143.55249786433512
112,-89.56543762715344,-140.7073308019125
113,-11.436588401282421,-136.64081058809882
114,-63.50651793045127,-135.68021103595524
115,-76.36978401929136,-134.62406609744684
116,-55.30029671718111,-132.5858869573219
117,-117.87919190373685,-130.43820428155678
118,-42.557521692509646,-129.53980938948897
119,-48.32599847312178,-128.79921120329098
120,19.32160712987252,-127.81444736322004
121,-334.64923105846333,-128.13128630974856
122,-29.67935241246822,-127.4457925795699
123,-81.60540546970059,-127.57709717298349
124,-34.121191909559656,-127.23476706635171
125,-36.42794227721295,-126.16864014389932
126,-107.24208349295155,-126.12577048032905
127,-71.2852106647392,-123.54490186530174
128,-63.54626097890063,-122.86449459093383
129,-203.2125812138494,-124.06330452637948
130,-111.21332706733816,-123.45916661259297
131,-102.08662621119672,-123.80640420085018
132,-96.45541552194754,-123.18195677237472
133,-64.7656173045884,-121.41860288541795
134,-361.5866870678542,-121.7188249840804
135,-10.679824987326015,-120.27095857630488
136,-40.662198841307685,-118.73850106423075
137,-136.51512115703724,-116.63908357710292
138,-61.00654664024438,-115.26012444100303
139,-74.829619804531,-114.60500240145194
140,-62.23048712647845,-112.47384004729807
141,-114.3752631099931,-112.9163048654445
142,-70.43060946085176,-110.43941145567489
143,-145.89194211445792,-108.85201094106941
144,-10.089397396683722,-106.48770699222037
145,-37.78773888521893,-105.01422263925296
146,-72.74986005307255,-105.05271962108112
147,-90.17823311309567,-102.99092505577693
148,-336.30898492113613,-105.17406911955918
149,-40.675255081096196,-103.37731867743906
150,-208.05487631511676,-103.73992635260623
151,-14.702546672426834,-103.06877980580393
152,-99.26524050818558,-103.33117767434378
153,-5.385363519754051,-102.7782378015828
154,-13.652145721549127,-102.07239688962612
155,-236.16059395867097,-103.29354735168995
156,-70.46570957646003,-103.21518982408249
157,-64.73548384982828,-104.03070091289779
158,-40.047275041212416,-102.01764054700185
159,-83.11248990393482,-101.86662559384564
160,-42.14647538431882,-101.21138774375581
161,-18.183364672936218,-101.39640974916605
